59m     Normal    ScalingReplicaSet   deployment/llm-proxy                     Scaled up replica set llm-proxy-857bf6d79d from 1 to 2
59m     Normal    Scheduled           pod/llm-proxy-857bf6d79d-z8vvr           Successfully assigned default/llm-proxy-857bf6d79d-z8vvr to ip-172-31-35-139.us-west-2.compute.internal
59m     Normal    SuccessfulCreate    replicaset/llm-proxy-857bf6d79d          Created pod: llm-proxy-857bf6d79d-z8vvr
59m     Normal    SuccessfulRescale   horizontalpodautoscaler/llm-proxy-exp4   New size: 2; reason: cpu resource utilization (percentage of request) above target
59m     Normal    Pulling             pod/llm-proxy-857bf6d79d-z8vvr           Pulling image "curlimages/curl:8.21.0"
59m     Normal    Created             pod/llm-proxy-857bf6d79d-z8vvr           Container created
59m     Normal    Started             pod/llm-proxy-857bf6d79d-z8vvr           Container started
59m     Normal    Pulled              pod/llm-proxy-857bf6d79d-z8vvr           Successfully pulled image "curlimages/curl:8.21.0" in 1.633s (1.633s including waiting). Image size: 10652192 bytes.
58m     Normal    Pulling             pod/llm-proxy-857bf6d79d-z8vvr           Pulling image "ghcr.io/ggml-org/llama.cpp:server"
58m     Normal    Pulled              pod/llm-proxy-857bf6d79d-z8vvr           Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 13.072s (13.072s including waiting). Image size: 307683482 bytes.
58m     Normal    Pulling             pod/llm-proxy-857bf6d79d-z8vvr           Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
57m     Normal    Started             pod/llm-proxy-857bf6d79d-z8vvr           Container started
57m     Normal    Pulled              pod/llm-proxy-857bf6d79d-z8vvr           Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.786s (5.786s including waiting). Image size: 64753325 bytes.
57m     Normal    Created             pod/llm-proxy-857bf6d79d-z8vvr           Container created
57m     Warning   Unhealthy           pod/llm-proxy-857bf6d79d-z8vvr           Readiness probe failed: Get "http://10.244.2.2:8000/health": dial tcp 10.244.2.2:8000: connect: connection refused
56m     Normal    Scheduled           pod/llm-proxy-857bf6d79d-tmxvt           Successfully assigned default/llm-proxy-857bf6d79d-tmxvt to ip-172-31-17-227.us-west-2.compute.internal
56m     Normal    SuccessfulCreate    replicaset/llm-proxy-857bf6d79d          Created pod: llm-proxy-857bf6d79d-tmxvt
56m     Normal    ScalingReplicaSet   deployment/llm-proxy                     Scaled up replica set llm-proxy-857bf6d79d from 2 to 3
56m     Normal    SuccessfulRescale   horizontalpodautoscaler/llm-proxy-exp4   New size: 3; reason: cpu resource utilization (percentage of request) above target
56m     Normal    Pulling             pod/llm-proxy-857bf6d79d-tmxvt           Pulling image "curlimages/curl:8.21.0"
56m     Normal    Created             pod/llm-proxy-857bf6d79d-tmxvt           Container created
56m     Normal    Started             pod/llm-proxy-857bf6d79d-tmxvt           Container started
56m     Normal    Pulled              pod/llm-proxy-857bf6d79d-tmxvt           Successfully pulled image "curlimages/curl:8.21.0" in 1.592s (1.592s including waiting). Image size: 10652192 bytes.
56m     Normal    SuccessfulRescale   horizontalpodautoscaler/llm-proxy-exp4   New size: 4; reason: cpu resource utilization (percentage of request) above target
56m     Normal    SuccessfulCreate    replicaset/llm-proxy-857bf6d79d          Created pod: llm-proxy-857bf6d79d-gbrzg
56m     Normal    Pulling             pod/llm-proxy-857bf6d79d-gbrzg           Pulling image "curlimages/curl:8.21.0"
56m     Normal    Scheduled           pod/llm-proxy-857bf6d79d-gbrzg           Successfully assigned default/llm-proxy-857bf6d79d-gbrzg to ip-172-31-33-225.us-west-2.compute.internal
56m     Normal    ScalingReplicaSet   deployment/llm-proxy                     Scaled up replica set llm-proxy-857bf6d79d from 3 to 4
56m     Normal    Started             pod/llm-proxy-857bf6d79d-gbrzg           Container started
56m     Normal    Pulled              pod/llm-proxy-857bf6d79d-gbrzg           Successfully pulled image "curlimages/curl:8.21.0" in 1.926s (1.927s including waiting). Image size: 10652192 bytes.
56m     Normal    Created             pod/llm-proxy-857bf6d79d-gbrzg           Container created
55m     Normal    Pulling             pod/llm-proxy-857bf6d79d-tmxvt           Pulling image "ghcr.io/ggml-org/llama.cpp:server"
55m     Normal    Pulled              pod/llm-proxy-857bf6d79d-tmxvt           Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 17.497s (17.497s including waiting). Image size: 307683482 bytes.
55m     Normal    Pulling             pod/llm-proxy-857bf6d79d-tmxvt           Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
55m     Normal    Created             pod/llm-proxy-857bf6d79d-tmxvt           Container created
55m     Normal    Pulled              pod/llm-proxy-857bf6d79d-tmxvt           Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.702s (5.702s including waiting). Image size: 64753325 bytes.
55m     Normal    Started             pod/llm-proxy-857bf6d79d-tmxvt           Container started
